#,Name,Instruction #1,Instruction #2,Instruction #3,Less Emotion,More Emotion,Happiness Domain,From Feelings (A),North Star (A),Parent Lineage,From Feelings (Final),To Feelings (Final),Specific Lineage,Time Required,Immediate?,Context
504,Find Courage in Past Strength,Reflect on a moment in your life when you overcame a challenge.,What steps did you take to surmount this challenge? How did you feel as a result of overcoming it?,Use this memory as a reminder that you can find within yourself the power to face the next challenge.,Pain,Pride,emotions,"Worried, Stressed, Insecure, self_critical",Courageous,,insecure,confident,,2700,Yes,Anywhere
505,Release Negative Self-Talk,Catch yourself in a moment of self-criticism.,"Just once, hear what the inner critic is saying. Note the tone of voice and the intention behind the words. ","Then, stop the chatter, and silently say “Next.” Turn your focus to one of your positive qualities, or one thing that is going well.",Sadness,Love,presence,"Stressed, Insecure, self_critical",Protective,psychology,self_critical,accepting,CBT,,Yes,Anywhere
506,Treat Yourself for Accomplishments,"The next time you reach a goal, or after you’ve given it your best shot, reward yourself for your efforts.","Consider how you’d like to celebrate yourself. You might treat yourself to your favorite dessert, buy yourself something you really want, or carve out time for a special ‘me day.’","Capture this culmination of your efforts in a way that feels meaningful to you, such as by snapping a photo, making a drawing, or writing a story. ",Anxiety,Pride,emotions,"Stressed, Tired, Happy",Gentle towards self,,stressed,joyful,,,No,Anywhere
508,Breathe Using Color Visualizations,"Sit comfortably and close your eyes. Allow your breathing to relax into a natural, steady rhythm.","As you draw in a deep breath, visualize a color. Hold your breath at the top for a few moments, letting the color saturate your awareness. Then, as you slowly exhale, visualize another color. Perhaps you breathe in yellow, and exhale blue. You can visualize the color on its own, or an object or place that reminds of you that color. ","Continue to breathe in and out with your colors in mind, focusing on the feelings and sensations these colors inspire in you.",Anxiety,Contentment,emotions,"Stressed, Worried, Frustrated, Sad",Aware,buddhism,stressed,present,Mindfulness,120,Yes,Alone
509,Surf Your Worries,"Sit comfortably and close your eyes. Imagine an ocean wave as it approaches the shore. Watch how it builds and swells, rolling towards the beach until it crashes onto shore, and slowly retreats back into the ocean.","Now, imagine that your worries and fears are like waves, coming and going, building and crashing. See yourself as a surfer, wading out in the ocean, paddling through currents, and riding these worry waves towards shore.  ","Watch how the waves lose their speed and power once they run their course. Remember that, like waves, these feelings won’t last forever, even if they feel like it. ",Anxiety,Contentment,emotions,"Stressed, Worried, Frustrated, Sad",Reassured,,stressed,balanced,,60,Yes,Anywhere
510,Scan Your Body for Tension,"Come to a comfortable seated or reclining posture. Close your eyes and begin to scan your body, noticing where you feel tension.","Starting with the tips of your toes, become aware of the physical sensations in your body in this moment. Relax each body part, one a time. Begin with your toes, feet, ankles, shins. Work your way up your entire body, slowly & steadily, until you reach the top of your head.","Continue your scan back down from your head to your toes, checking in with each part of the body, and silently asking it to relax. Notice any differences in your body after you complete your scan. Repeat as desired until you’ve melted away all tension. ",Anxiety,Contentment,body,"Stressed, Worried, Frustrated, Bored",In-tune,buddhism,stressed,present,Mindfulness Based Stress Reduction,,,Alone
511,Label Your Thoughts,Find a comfortable seat and close your eyes. Take a few deep breaths. Start to notice your thoughts. Continue breathing normally while you observe the thoughts that arise.,"Now, start labeling your thoughts according to their function. For example, if a thought about ‘planning’ arises, label it ‘planning.’ Say the word silently to yourself three times, and then let it go. ","Repeat this for each of your thoughts. Label them, acknowledge them by repeating the label three times, and let them go.",Anxiety,Contentment,presence,"Stressed, Frustrated, Worried, Insecure, Bored",Organized,buddhism,stressed,accepting,Mindfulness,600,Yes,Alone
512,Relax With a Bedtime Meditation,"At bedtime before falling asleep, lie still in bed for a few moments. Relax your body and your mind.  ","Close your eyes, and call to mind the good moments from your day. What went well? What brought you joy? Reflect on the positive happenings and experiences you had. ","As each memory arises, give thanks for the moment. Repeat this short reflection each night before falling asleep. ",Anxiety,Contentment,emotions,"Lonely, Sad, Bored, Tired, Happy",Reflective,buddhism,tired,grateful,Mindfulness,180,Yes,Alone
513,Do a Relaxing Yoga Posture,"Set aside all of your tasks for at least five minutes. Lie down flat on your back, on the floor, couch, or bed. As needed, place a pillow or other support under your head or knees. Close your eyes. ","Allow your body to rest fully, with your arms at yours sides and palms facing up. Release any tensions from all parts of your body, including your fists, jaw, and eyes. ","Center your attention on your breath, and breathe in and out normally. Allow your body to relax in this reclined posture for as many minutes as you can. ",Anxiety,Contentment,body,"Stressed, Frustrated, Worried",Revitalized,yoga,stressed,relaxed,Yoga,300,Yes,Alone
514,Make Intentional Eye Contact,"As you go about your day, consciously decide to make eye contact with the people you come in contact with, from colleagues to waiting staff to baristas.  ","Practice giving them your undivided attention. In moments of interaction, engage fully and intentionally.",Notice if this changes the quality of your interactions. Become more aware of human kindness and how much help we receive every day.,Anxiety,Compassion,relationships,"Bored, Stressed, Happy, Curious",Intertwined,,lonely,connected,,,Yes,Anywhere
515,Retrace Food From Farm to Table,"As you enjoy a meal or a snack, imagine how each food item came to be at your table.","Take a mental journey in reverse from your table to, for example, the farm that grew the wheat your toast is made of, and every stage in between.","Think about all the people involved in the production and transportation, and how their work made it possible for you to be eating this right now.",Anxiety,Gratitude,nature,"Bored, Curious",Involved,,curious,grateful,,120,Yes,Alone
516,Practice a Loving Kindness Meditation,"Come to a seated position. Soften your gaze, or close your eyes. Bring to mind someone you love. Wish that this person is safe, well, and happy. ","Now, think of another person towards whom you feel neutral. For example, a clerk at your local grocery store or a colleague you occassionally pass in the hallway. Wish that this person is safe, well, and happy. ","Now expand your awareness to all living beings on the globe. Send warm wishes of safety, good health, and happiness to all beings. ",Sadness,Love,emotions,"Stressed, Lonely, Loving, Sad",Worldly,buddhism,loving,compassionate,Buddhism,,,Alone
517,Envision How You Are Part of Humankind,Think about the world around you. Recognize that you are one of more than 7 billion people on this earth. ,"Reflect on how your experience in this world is unique, and how it is not. Are you the only person on earth who struggles with a specific problem? Are you the only one who feels the way you do now?",Consider the qualities that connect you to humankind. What are the basic human needs that we all share? Envision yourself as part of the whole. ,Sadness,Compassion,meaning,"Stressed, Worried, Sad, self_critical, Inspired",Not alone,,worried,connected,,600,Yes,Anywhere
518,Find Commonalities With Other Cultures,Choose a documentary that features a different culture or country than your own. ,"While watching, notice the differences from your own culture/country, but pay more attention to the commonalities. ",Do any of these surprise you? Reflect on what you learned. ,Sadness,Compassion,creativity,"Bored, Curious, Inspired, Lonely",Connected,,curious,connected,,,No,Anywhere
519,Search for the Acts of Humanity,"As you go through your day, make it your focus to look for, embrace, and announce the acts of humanity you see around you.","Actively look out for moments where people display kindness or concern towards each other. Examples include noticing someone helping an elderly person cross the street, reading an underreported news story of an act of generosity, or witnessing a colleague extend a helping hand. ","Bring these moments into your conversations, and notice how it feels to create collective memories of such acts of humanity.",Sadness,Compassion,meaning,"Bored, Lonely, Sad, Curious",In-touch,,curious,inspired,,,No,Anywhere
520,Reminisce About the Positive,"Conjure up a mental image of yourself when you were especially happy or doing something you love. This can be a recent memory, or even a distant one that is close to your heart. ",Allow images related to the memory to come to mind. Transport yourself back to that time and place. ,Let your mind wander freely through the details. See how close you can get to feeling the sense of happiness you experienced then. ,Anxiety,Joy,presence,"Bored, Sad, Lonely, Stressed",Willing,psychology,sad,content,Positive Psychology,180,Yes,Alone
521,Interview a Family Member,Set aside an hour to interview a beloved family member. Bring your phone to record the interview.,"During the interview, ask questions that help you understand more about who you are, the challenges and opportunities that your family member experienced, and the choices that they made that led them to where they are today.","Some questions you might consider are:
• What’s your earliest memory?
• How did you meet your spouse/partner?
• What was home like when you were a child?
• Tell me about some of your friends!
• How has technology changed how we live?
• What advice would you give me as I think about my life going forward?",Sadness,Compassion,relationships,"Lonely, Curious, Inspired",Stretched,,curious,in awe,,3600,No,Together
522,Explore the Oldest Part of Town,Locate the oldest areas of the city or town you live. Go on a walk through these areas. ,"As you walk, think about how the past and present of the area merge together. Look out for clues of its history. Take notice of what has been preserved vs. what looks more modern.",Try to gain a better perspective of how this place used to be and what it has become today. Consider researching more about the area by talking to local business owners or reading about it online. ,Sadness,Interest,creativity,"Stressed, Frustrated, Bored, Lonely, Curious",Communal,,curious,present,,1800,No,Outside
523,Ponder Those Who Inspire You,Call to mind the people who have inspired you to become the best version of yourself over the course of your life. ,"Once you have at least two people in mind, consider what about each of them inspires you. What traits do these inspirational people have in common with each other?",What are some ways you can surround yourself with others who embody those inspirational traits?,Anxiety,Gratitude,meaning,"Sad, Lonely, Loving",Appreciative,,lonely,inspired,,1200,Yes,Anywhere
524,Research Old Local Newspapers,Search online or visit your local library to inquire about reading some old newspapers of the city or town you live in. ,What year is the newspaper from? What was making headlines in your area at this time? What was happening elsewhere around the world? ,Imagine what life was like for people living during this time. What are the biggest changes you notice when comparing this newspaper to the local news of today?,Sadness,Compassion,meaning,"Lonely, Bored, Curious",Knowledgeable,,curious,in awe,,,No,Anywhere
525,Make Your Own Family Tree,Identify some sources of information that can help you plot your family tree. ,Look up examples of family trees online to pick a style that appeals to you to inspire the design of your own tree.,"Schedule time to call or sit down with family members that can help you fill in the branches. Once it’s complete, consider the most interesting parts of the tree. Did anything surprise you?",Sadness,Compassion,meaning,"Lonely, Curious, Bored, Inspired",Rooted,,curious,connected,,,No,Anywhere
526,Use All Five Senses,"On your way to work or on another frequent trip you make, try to notice an interesting stimulus for each of the five senses: sight, smell, taste, touch, hearing. ","Stay connected to your experience, maintaining sensory awareness until you have noticed at least one interesting thing for each sense.",Keep this sense of engagement as you continue through your journey. Notice how it feels to scan your environment using all five of your senses. ,Anxiety,Interest,body,"Bored, Stressed, Curious",In-touch,,stressed,present,,300,Yes,Anywhere
527,Mindfully Eat a Fruit or Vegetable,"Obtain a fruit or vegetable that you like, set it on a surface in front of you, and come to a comfortable seat.  ","Focus on your breathing for at least one minute. When you feel relaxed, look closely at the fruit. Examine it as if you have never seen one before. Pay attention to its color, texture, shape, surface, and even smell. ","If you want to eat it, take your time to enjoy it. With each bite, pause to notice the texture of it on your tongue and how the flavor changes as you chew. Savor every bite.",Anxiety,Contentment,body,"Bored, Happy, Stressed",Grounded,buddhism,stressed,grateful,Mindfulness Based Stress Reduction,120,Yes,Alone
528,Notice the Sounds Around You,Take a few minutes to stop and notice the sounds that are going on around you at this moment. ,Close your eyes so that you can zero in your attention on what you can hear. Count how many sounds you can identify.,"Notice if you have a positive, neutral, or negative association with each of the sounds you identify. ",Anxiety,Interest,body,"Stressed, Bored, Relaxed, Tired",Aware,buddhism,stressed,present,Mindfulness Based Stress Reduction,60,Yes,Anywhere
529,Notice the Temperature,Take a few minutes and notice the temperature of the air around you.,"Close your eyes so that you can zero in your attention on how the air feels on your arms, cheeks, and neck.","Scan your body, noticing which parts are warm and which are cool. ",Anxiety,Contentment,body,"Stressed, Bored, Tired, Relaxed, Happy",Cognizant,buddhism,stressed,present,Mindfulness,180,Yes,Outside
530,Plan for Unscheduled Time,Set a time in your calendar for ‘unscheduled time.’,"Plan not to have anything planned, only to enjoy what the moment offers and to savor whatever sensations you are feeling then.",Try to book a window of ‘unscheduled time’ each day. ,Anxiety,Contentment,creativity,"Stressed, Frustrated, Worried, Motivated",Caring (towards self),buddhism,stressed,content,Mindfulness,,No,Anywhere
531,Listen to Your Favorite Song,Sit comfortably and play your favorite song. ,"Listen to it carefully, with full attention. Listen to its acoustic characteristics and layers. If there are lyrics, focus on the message it’s sending.",What emotions is the song trying to convey? How does it make you feel?,Anxiety,Contentment,creativity,"Stressed, Lonely, Bored, Relaxed, Curious",Observant,buddhism,stressed,inspired,Mindfulness,240,Yes,Anywhere
532,Collect Images That Reflect Your Dreams,"Consider this statement: “If I had either faith or money, I would try...” Finish the statement by listing five dreams or aspirations you have. ","For the next week, keep an eye out for images that represent these dreams. When you spot them, photograph them, sketch them, or tear out the magazine page. ","With these images, begin a file to store your dreams. You might also consider displaying them somewhere in your home that you will see them often, such as on the fridge, on your mirror, or on a vision board. ",Sadness,Excitement,meaning,"Sad, Bored, Inspired, Motivated, Happy",Forward thinking,psychology,motivated,inspired,The Artist’s Way- Julia Cameron,,No,Alone
533,"Collage Your Past, Present, and Future","Collect a stack of magazines, as well as a sheet of newspaper and glue, tape, or a stapler. ","Flip through the magazines, collecting images that reflect your past, present, and future. Look for imagery that relate to your dreams, interests, and tastes. ","On the newspaper, or other material you’d like to mount your ideas to, arrange the images in a way that feels pleasing, symbolic, or meaningful to you. Attach them to your mount, and give your collage a special place in your home. Use your collage to remind you of where you’ve been, what the present is offering, and what’s to come.",Anxiety,Contentment,meaning,"Bored, Inspired, Happy, Motivated",Creative,psychology,motivated,hopeful,The Artist’s Way - Julia Cameron,,No,Alone
534,Draw a Mandala,"A mandala is an abstract design that is usually circular in form. Mandalas generally have one identifiable center point, from which emanates an array of symbols, shapes and forms. In this exercise, you will draw your own mandala. 
","To create your own, start by getting a piece of paper and drawing a small circle in the center. ","Begin creating your mandala by drawing a shape repeatedly around the circle. Continue moving outwards, adding layers of shapes around the circle, letting your mandala grow.",Anxiety,Contentment,creativity,"Bored, Inspired",Centered,,inspired,joyful,,300,No,Anywhere
535,Assemble a Mandala,"A mandala is an abstract design that is usually circular in form. Mandalas generally have one identifiable center point, from which emanates an array of symbols, shapes and forms. In this exercise you will create a mandala with materials you find in your environment. ","Begin by foraging for some materials outside– leaves, pine needles, branches, whatever inspires you. ","Once you gather your materials, clear a space on the ground and begin assembling your mandala. Letting your intuition guide, begin by placing one object in the center. Place materials around the center point, continuing to move outwards as you slowly add layers. ",Anxiety,Contentment,creativity,"Bored, Stressed, Inspired, Motivated",Gtrounded,,motivated,in awe,,1800,No,Outside
536,Illustrate Your Fears,"This is an exercise to bring perspective and awareness to fears by drawing them. Gather some supplies–paper, pens, pencils, markers, or crayons, whatever you have on hand. ","Take a few deep breaths, setting an intention for this activity. It might be to make friends with your fear, to bring awareness to your fear, or to feel some relief from your fear. Then, begin to illustrate your fears, letting your creativity and intuition guide you through the process. ","When you feel your illustration is complete, take a moment to view it, noticing how you feel.",Fear,Contentment,creativity,"Stressed, Frustrated, Sad, Worried, Insecure",Fearless,,worried,accepting,,600,No,Alone
537,Illustrate an Ally,"This is an exercise to bring a sense of love and support by illustrating an ally figure, or someone that you feel has your back. First, gather some supplies– paper, pens, pencils, markers, or crayons, whatever you have on hand. Take a few deep breaths, setting an intention for this activity. It might be to feel more connected, safe, or loved. ","Then, begin to illustrate your ally, letting your creativity and intuition guide you through the process. Perhaps your ally is your best friend, your first dog, or maybe something more abstract like a mystical creature of your own invention, or mother earth. Choose whatever figure makes you feel happy, loved, and supported.","When you feel your illustration is complete, take a moment to view it, noticing how you feel. Place this somewhere special for you to view whenever you need a reminder that you are supported.",Sadness,Gratitude,creativity,"Lonely, Sad, Loving, Insecure, Inspired",Supported,,lonely,connected,,600,No,Alone
538,Illustrate a Safe Place,"This is an exercise to bring a sense of love and support by illustrating your personal happy place. First, gather some supplies– paper, pens, pencils, markers, or crayons, whatever you have on hand. Take a few deep breaths, setting an intention for this activity. ","Now, begin to illustrate your happy place, or a safe space that comes to mind.  This place may be real or imagined. Add whatever details enhance your feeling of safety and love. What is the temperature of this place? What objects are present? What does the ground feel like? Let your creativity and intuition guide you through the process. ","When you feel your illustration is complete, take a moment to view it, noticing how you feel. Place this somewhere special for you to view whenever you feel drawn to it.",Anxiety,Contentment,creativity,"Sad, Lonely, Worried, Insecure, Frustrated ",Safe,,worried,content,,600,No,Alone
539,Visualize Sunlight Nourishing Your Body,"While sitting or lying down with eyes closed, imagine you have arrived at a warm, sunny place where the sun’s rays shine brightly on you from above. You could be sitting or lying on a warm sandy beach, a sunny deck on a lake, or an open meadow filled with spring wildflowers. Take a few deep breaths, allowing yourself to receive the warm energy of the sun. ","Scan your body from feet to head, enriching every cell of your body with sunlight. Imagine the sunlight warming the cells and tissues in your toes, calves, thighs, abdomen, lungs, heart, fingers, arms, shoulders, neck, and head. ","Rest here for a few moments, letting your body and mind delight in being filled with the warm, nourishing energy of the sun.",Anxiety,Contentment,presence,"Stressed, Sad, Lonely, Insecure, Relaxed",Aligned,daoism,stressed,relaxed,Daoism,180,Yes,Alone
540,Visualize Moonlight Nourishing Your Body,"While sitting or lying down with eyes closed, imagine you have arrived at a calm, quiet, and relaxing place outside, where the starry night sky and full moon shines brightly above you. You could be sitting or lying down on a boulder in the mountains, a sandy tropical beach, the dock of a lake, or an open meadow. Take a few deep breaths allowing yourself to arrive here, and breathe in the calm and supportive energy of the moon. ","Scan your body from feet to head, enriching every cell of your body with this calm, healing moonlight. Imagine the moonlight enriching the cells and tissues of your toes, calves, thighs, abdomen, lungs, heart, fingers, arms, shoulders, neck, and head. ","Rest here for a few moments, letting your body and mind delight in being filled with the calm, supportive, and clear energy of the moon.",Anxiety,Contentment,presence,"Stressed, Worried, Frustrated, Insecure",Aligned,daoism,stressed,relaxed,Daoism,180,Yes,Alone
541,Scan the Body With a Smile,Find a relaxed and comfortable position seated or lying down. Close your eyes and imagine a smile spreading across a vast blue sky. ,"Imagine bringing this felt sense of a smile to your eyes. Scan your body, spreading a smile across the throat, the heart, the abdomen, and then imagine it spreading throughout your whole body. ","Breathe in this felt sense of smile. See if you can hold all present feelings with the gentle, warm, and loving presence of a smile.",Anxiety,Contentment,body,"Stressed, Happy, Sad, Insecure, self_critical",Aligned,buddhism,stressed,loving,Buddhism,120,Yes,Alone
542,Imagine an Ally Massaging Tension from Your Body,"Sit quietly in a comfortable seated position. Close your eyes and take a few deep breaths. Imagine an ally in your presence—this could be a supportive person in your life, Mother Earth, a guardian angel—whatever resonates. ","Imagine your ally using their healing hands to massage out any tension from your body. For example, if you carry tension in your shoulders, imagine they are gently massaging out the knots and tension in your shoulders. Breathe as you release tension, and let yourself receive their healing touch. ","Rest a few moments, noticing how it feels to receive this kind of support.",Anxiety,Contentment,body,"Lonely, Sad, Stressed, Worried, Insecure",Uplifted,psychology,stressed,connected,Transpersonal Psychotherapy,180,Yes,Alone
543,Imagine Receiving a Hug,"Sit quietly and call to mind a being, real or imagined, who makes you feel loved, safe, and comforted. ",Imagine this being embracing you with a hug. ,"Let yourself receive their loving presence, noticing how you feel.",Anxiety,Love,body,"Sad, Lonely, Loving, Worried",Embraced,,lonely,loving,,60,Yes,Alone
544,Watch a Plant Grow,"Take a few minutes to fix your gaze on a plant or tree before you. If you aren’t near either, imagine your favorite one before you. Even if you cannot see it, imagine it growing. Consider how its branches or stems extend, and how its leaves or blossoms unfurl. ","Now, imagine yourself as a plant or tree. Feel yourself growing, extending, and unfurling. ","Even if you cannot see or feel it, reflect on how you are always growing– your body generating new cells everyday.",Anxiety,Compassion,nature,"Lonely, Stressed, Bored, Hopeful",Nurtured,,curious,inspired,,180,Yes,Alone
545,Warm Your Heart,"Sit quietly, taking a few slow, deep breaths. Close your eyes and rest your palms facing upward on your lap. As you breathe, imagine your palms becoming slowly infused with warm and radiant sunlight. ","Now, place both palms over your heart, delivering the warm and radiant energy to your heart. As you receive the warmth from your hands, imagine any fears, worries, arguments, or stress, melting away and revealing your radiant heart. ","Breathe, allowing yourself to receiving the healing of your own hands.",Anxiety,Contentment,body,"Stressed, Tired, Insecure, Loving",In-touch,"buddhism,yoga",worried,balanced,"Yoga, Buddhism",180,Yes,Alone
546,Connect to Calm With a Glass of Water,"In many traditions, the water element represents clear seeing. ","With more intention and awareness than usual, pour some drinking water into a clear glass. Notice the clarity and stillness of the water. ","Now, bring the glass to your lips and drink the water, receiving the clarity of this element. Take a few breaths to pause and notice how you feel.",Anxiety,Contentment,body,"Stressed, Relaxed, Bored, Frustrated, Tired",Nurtured,"buddhism,daoism",stressed,present,"Buddhism, Daoism",180,Yes,Alone
547,Connect With the Water Element,Your homework for this week is to consciously cultivate experiences with water. ,"For example, you might splash your face each morning, take a mindful bath or shower, go swimming at the local pool, or watch the ocean waves.",Notice how you feel before and after each experience of connecting with water.,Anxiety,Contentment,nature,"Stressed, Bored, Sad, Inspired, Motivated",Flowing,,stressed,present,,1800,No,Anywhere
548,Lie on the Earth,Find a comfortable place outside to lie down on the earth.,"First lie down on your back. Scan your body for any tension, and imagine releasing it into the earth. ","After some time, flip onto your belly. Connect with the warm, supportive energy of the earth. Notice how you feel being so close and connected to the earth.",Anxiety,Contentment,nature,"Stressed, Bored, Tired, Frustrated",Earthing,,stressed,relaxed,,300,No,Outside
549,Connect with the Earth Element,Your homework for this week is to consciously cultivate experiences with the earth element. ,"For example, you might go for a walk somewhere in nature, pack a picnic for the park,  doing some gardening, or stand barefoot on grass. ",Notice how you feel before and after each experience of connecting with the earth.,Anxiety,Contentment,nature,"Stressed, Bored, Tired, Frustrated",Earthing,,stressed,connected,,1800,No,Outside
550,Gaze at the Flame of a Candle,"Light a candle. Spend some time gazing at the flame. Watch as it sways and dances, grows and shrinks.","When you find yourself getting carried away in thought, simply return your attention to the flame. ","Rest here, noticing how it feels to connect with the energy of fire. In many traditions, the fire element represents change and transformation. Consider if that resonates with you.  ",Anxiety,Awe,nature,"Stressed, Bored, Tired, Frustrated",Ignited,,worried,balanced,,300,No,Alone
551,Connect with the Fire Element,Your homework for this week is to consciously cultivate experiences with the fire element. ,"For example, you might gaze at a candle flame, light a fireplace, burn incense or sage, or seek out the sun. ",Notice how you feel before and after each experience of connecting with fire.,Anxiety,Awe,nature,"Stressed, Bored, Sad, Inspired, Motivated",Ignited,,curious,present,,1800,No,Anywhere
552,Pay Attention to the Pause,"Find a comfortable seated position. Sit quietly, bringing some awareness to your breath. ","In this practice, you will pay attention to the space between your exhale and inhale. Focus your attention on the natural rhythm of your breath. Without manipulating the breath, feel into the space between the exhale and the inhale. ","Maintain this focus for a few breaths or longer, noticing how you feel.",Anxiety,Contentment,emotions,"Stressed, Worried, Frustrated, Tired, Curious",Serene,buddhism,stressed,present,Buddhism,180,Yes,Alone
553,Gaze at the Sky,"Find a place outside where you can lay down and see the sky, unobstructed.",Stare at the sky for a least 5 minutes. Let your mind merge with the vastness and openness of the sky.,Notice it feels to connect with the element of space. ,Anxiety,Awe,nature,"Stressed, Worried, Tired, Sad, Frustrated",Open,buddhism,stressed,content,Buddhism,300,No,Alone
554,Connect with the Space Element,"Your homework for this week is to consciously cultivate experiences with the space element. We can get in touch with the element space by pausing, and feeling the time and gaps between one thing and the next. ","This week, consciously try to do less. For example, you might intentionally schedule gaps between engagements and appointments, refrain from entertainment while waiting in line, stare up at the night sky, visit an observatory, or stare at the vast blue sky. ",Notice how you feel before and after each experience of connecting with the element space.,Anxiety,Awe,nature,"Stressed, Worried, Frustrated, Inspired, Bored",Open,,frustrated,content,,1800,No,Alone
555,Feel the Connection Between Air and Breath,"Sit quietly, and close your eyes. Even if there isn’t strong wind around you, feel the movement of air. ","Now, bring awareness to your breath, feeling the movement of air through your body with your inhale and exhale. ","Feel the way in which you connect to your environment with your breath, inhaling what moves around you, and exhaling it back into space.",Anxiety,Contentment,body,"Stressed, Worried, Frustrated, Inspired, Bored",Clear,buddhism,worried,content,Buddhism,120,Yes,Alone
556,Connect with the Air Element,Your homework for this week is to consciously cultivate experiences with the air element. ,"For example, you might consciously follow with your breath, do a breath-centered movement practice like yoga, watch the wind move through trees, or blow out a candle. ",Notice how you feel before and after each experience of connecting with air.,Anxiety,Contentment,nature,"Stressed, Worried, Frustrated, Inspired, Bored",Weightless,,motivated,inspired,,1800,No,Anywhere
558,Meditate on a Stranger,"Sit quietly and call to mind a neutral person in your life–someone you don’t tend to pay a lot of attention to. This could be your mailman, the receptionist at your dental office, the crossing guard, etc. ","Beginning with when they first wake up in the morning, imagine how a single day unfolds for them. How do they go about their morning? What do they do throughout the day? Who do they come home to? ","Let yourself be creative, using the limited information you do have about them to imagine a day in their life.",Sadness,Compassion,relationships,"Lonely, Bored, Curious",Sensitive,buddhism,curious,compassionate,Buddhism,180,Yes,Alone
559,Watch the Clouds Pass,Sit quietly outside and stare up at the clouds. Watch them pass and move across the sky. ,"As you watch the clouds pass, feel the vast open sky beneath them.","Imagine your mind is like the vast, open sky, and your thoughts are the passing clouds.",Anxiety,Awe,nature,"Stressed, Worried, Frustrated, Bored, Sad",Boundless,buddhism,worried,in awe,Buddhism,,,Alone
560,Meditate on an Object,Find a favorite object of yours and place it before you. ,"Bringing your full attention to the object, reflect on what makes this object special to you. While you breathe, sense where this special quality exists in you. ","Continue breathing, feeling the sense of kinship and mirroring between you and the object.",Anxiety,Contentment,emotions,"Stressed, Worried, Frustrated, Bored, Sad",Rooted,buddhism,stressed,connected,The Book of Awakening - Mark Nepo,120,Yes,Alone
561,Find Something That Mirrors Your State,Take a few moments to sit quietly and close your eyes. Breathe into whatever you may be feeling. ,"Now, open your eyes and look around at your surroundings. Locate something in your awareness that seems to match or resemble your inner state. ","Smile at this object, feeling a sense of kinship between you and this object.",Anxiety,Contentment,meaning,"Stressed, Worried, Frustrated, Lonely, Sad",Integrated,,stressed,connected,,120,Yes,Alone
562,Look Through Someone Else’s Eyes,Stare at your reflection in the mirror. And then close your eyes. ,"After a few moments, reopen them. Stare at the face in the mirror as if you were looking upon that face through the eyes of someone who loves you unconditionally. ",Notice how this feels to look at yourself through someone else’s eyes. ,Anxiety,Compassion,relationships,"Insecure, self_critical, Sad, Stressed",Valuable,,insecure,compassionate,,180,No,Alone
563,Reflect on One Good Thing About Yourself,"Take a moment to reflect on one thing that makes you feel good about yourself—it could be your smile, your laugh, your willingness to pick up the phone for loved ones. ",Place your hands over your heart as you focus your attention on your chosen quality. ,Thank yourself for bringing this goodness into the world.,Sadness,Compassion,emotions,"Insecure, self_critical, Sad, Stressed",Valuable,psychology,insecure,compassionate,Self-compassion,60,Yes,Alone
564,Pause the Next Time the Phone Rings,"The next time your phone rings, take a moment to pause for a deep breath.","Exhale, and feel your feet on the ground. ","Then, answer with restored presence.",Anxiety,Contentment,emotions,"Stressed, Frustrated, Worried",Paused,buddhism,stressed,balanced,Buddhism,30,No,Alone
565,Listen to the Sound of a Bell,"Find a bell, whether a physical one or search for a digital one on your phone. Find a comfortable seated position and sit quietly, taking a few deep breaths. ","With intention, sound the bell gently to wake it up. When it finishes ringing, close your eyes, and ring the bell another time, this time a little stronger. ","As you listen, imagine the sound carrying you home to yourself. When you can no longer hear the sound, pause, feeling into this sense of home.",Anxiety,Contentment,creativity,"Stressed, Sad, Bored, Tired, Curious",Centered,buddhism,curious,present,Buddhism,180,No,Alone
566,Plan a Day of Emptiness,Plan a day for intentionally doing nothing. Schedule the time on your calendar and commit to a day empty of commitments.,"On this day, let yourself rest. Refrain from even reading, and avoid tasks like cooking or exercising, if you can.  ",Bring awareness and loving kindness to the impulse to always be doing. Notice how it feels to be free from doing. ,Anxiety,Contentment,meaning,"Stressed, Worried, Frustrated, Tired, Relaxed",Eased,buddhism,frustrated,content,Buddhism,3600,No,Alone
567,Listen with Your Full Presence,"In the next conversation you have with a person, practice mindful listening. Devote your full attention to listening to the other person speaking. Try not to think of what you will reply or what you want to say while they speak."," Pay attention to the details of their body language, asking yourself the question, “what are the words behind their words?” Pay attention to your own body, noticing whatever sensations arise in response to their words. ",Listening in this way is a gateway into presence. ,Anxiety,Contentment,emotions,"Lonely, Sad, Curious, Hopeful, Loving",Mindful,buddhism,lonely,connected,Buddhism,180,No,Alone
568,Visualize a Place in Nature,Sit quietly and call to mind a place in nature that you enjoy. Visualize yourself returning to this place. ,"Zoom in on one detail that stands out to you about this place. It could be the smell of damp fallen leaves, a salty breeze, the sound of birds, or something else. ",Let yourself feel nourished by the details of this place.,Anxiety,Contentment,nature,"Stressed, Sad, Worried, Frustrated, Lonely",Regrouped,daoism,stressed,relaxed,Daoism,60,Yes,Alone
569,Revisit a Park,Find a quiet place to sit down and relax.,Recall a beautiful park you’ve visited in the past. ,Remember what you felt like from that visit. Reflect on the details and the beauty of the park.,Anxiety,Contentment,nature,"Stressed, Sad, Worried, Frustrated, Happy",Reminiscent,psychology,stressed,grateful,Positive Psychology,180,Yes,Alone
